English,Español
the,el
be,ser
and,y
a,a
of,de
to,a
in,en
i,i
you,tú
it,él
have,tener
to,a
that,eso
for,para
do,hacer
he,él
with,con
on,en
this,este
n't,Nuevo Testamento
we,nosotros
that,eso
not,no
but,pero
they,ellos
say,decir
at,en
what,qué
his,su
from,de
go,ir
or,o
by,por
get,conseguir
she,ella
my,mi
can,poder
as,como
know,saber
if,si
me,a mí
your,su
all,todo
who,OMS
about,acerca de
their,su
will,voluntad
so,entonces
would,haría
make,hacer
just,justo
up,arriba
think,pensar
time,tiempo
there,allá
see,ver
her,su
as,como
out,afuera
one,uno
come,venir
people,gente
take,llevar
year,año
him,a él
them,a ellos
some,alguno
want,desear
how,cómo
when,cuando
which,cual
now,ahora
like,como
other,otro
could,podría
our,nuestro
into,en
here,aquí
then,entonces
than,que
look,mirar
way,forma
more,más
these,estos
no,No
thing,cosa
well,Bueno
because,porque
also,también
two,dos
use,usar
tell,decir
good,bien
first,primero
man,hombre
day,día
find,encontrar
give,dar
more,más
new,nuevo
one,uno
us,a nosotros
any,cualquier
those,aquellos
very,muy
her,su
need,necesidad
back,atrás
there,allá
should,debería
even,incluso
only,solo
many,muchos
really,en realidad
work,trabajar
life,vida
why,por qué
right,bien
down,abajo
on,en
try,intentar
let,dejar
something,algo
too,también
call,llamar
woman,mujer
may,puede
still,aún
through,a través de
mean,significar
after,después
never,nunca
no,No
world,mundo
in,en
feel,sentir
yeah,sí
great,excelente
last,último
child,niño
oh,Vaya
over,encima
ask,preguntar
when,cuando
as,como
school,escuela
state,estado
much,mucho
talk,hablar
out,afuera
keep,mantener
leave,dejar
put,poner
like,como
help,ayuda
big,grande
where,dónde
same,mismo
all,todo
own,propio
while,mientras
start,comenzar
three,tres
high,alto
every,cada
another,otro
become,convertirse
most,mayoría
between,entre
happen,suceder
family,familia
over,encima
president,presidente
old,viejo
yes,Sí
house,casa
show,espectáculo
again,de nuevo
student,alumno
so,entonces
seem,parecer
might,podría
part,parte
hear,escuchar
its,es
place,lugar
problem,problema
where,dónde
believe,creer
country,país
always,siempre
week,semana
point,punto
hand,mano
off,apagado
play,jugar
turn,doblar
few,pocos
group,grupo
such,semejante
against,contra
run,correr
guy,chico
about,acerca de
case,caso
question,pregunta
work,trabajar
night,noche
live,vivir
game,juego
number,número
write,escribir
bring,traer
without,sin
money,dinero
lot,lote
most,mayoría
book,libro
system,sistema
government,gobierno
next,próximo
city,ciudad
company,compañía
story,historia
today,hoy
job,trabajo
move,mover
must,debe
bad,malo
friend,amigo
during,durante
begin,comenzar
love,amar
each,cada
hold,sostener
different,diferente
american,americano
little,pequeño
before,antes
ever,alguna vez
word,palabra
fact,hecho
right,bien
read,leer
anything,cualquier cosa
nothing,nada
sure,seguro
small,pequeño
month,mes
program,programa
maybe,tal vez
right,bien
under,bajo
business,negocio
home,hogar
kind,amable
stop,detener
pay,pagar
study,estudiar
since,desde
issue,asunto
name,nombre
idea,idea
room,habitación
percent,por ciento
far,lejos
away,lejos
law,ley
actually,de hecho
large,grande
though,aunque
provide,proporcionar
lose,perder
power,fuerza
kid,niño
war,guerra
understand,entender
head,cabeza
mother,madre
real,real
best,mejor
team,equipo
eye,ojo
long,largo
long,largo
side,lado
water,agua
young,joven
wait,esperar
okay,bueno
both,ambos
yet,todavía
after,después
meet,encontrarse
service,servicio
area,área
important,importante
person,persona
hey,ey
thank,agradecer
much,mucho
someone,alguien
end,fin
change,cambiar
however,sin embargo
only,solo
around,alrededor
hour,hora
everything,todo
national,nacional
four,cuatro
line,línea
girl,chica
around,alrededor
watch,mirar
until,hasta
father,padre
sit,sentarse
create,crear
information,información
car,auto
learn,aprender
least,el menos
already,ya
kill,matar
minute,minuto
party,fiesta
include,incluir
stand,pararse
together,juntos
back,atrás
follow,seguir
health,salud
remember,recordar
often,a menudo
reason,razón
speak,hablar
ago,atrás
set,colocar
black,negro
member,miembro
community,comunidad
once,una vez
social,social
news,noticias
allow,permitir
win,ganar
body,cuerpo
lead,dirigir
continue,continuar
whether,si
enough,suficiente
spend,gastar
level,nivel
able,capaz
political,político
almost,casi
boy,chico
university,universidad
before,antes
stay,permanecer
add,agregar
later,más tarde
change,cambiar
five,cinco
probably,probablemente
center,centro
among,entre
face,rostro
public,público
die,morir
food,alimento
else,demás
history,historia
buy,comprar
result,resultado
morning,mañana
off,apagado
parent,padre
office,oficina
course,curso
send,enviar
research,investigación
walk,caminar
door,puerta
white,blanco
several,varios
court,corte
home,hogar
grow,crecer
better,mejor
open,abierto
moment,momento
including,incluido
consider,considerar
both,ambos
such,semejante
little,pequeño
within,dentro
second,segundo
late,tarde
street,calle
free,gratis
better,mejor
everyone,todos
policy,política
table,mesa
sorry,Lo siento
care,cuidado
low,bajo
human,humano
please,por favor
hope,esperanza
########,########
process,proceso
teacher,maestro
data,datos
offer,oferta
death,muerte
whole,entero
experience,experiencia
plan,plan
easy,fácil
education,educación
build,construir
expect,esperar
fall,caer
himself,él mismo
age,edad
hard,duro
sense,sentido
across,al otro lado de
show,espectáculo
early,temprano
college,colega
music,música
appear,aparecer
mind,mente
class,clase
police,policía
use,usar
effect,efecto
season,estación
tax,impuesto
heart,corazón
son,hijo
art,arte
possible,posible
serve,atender
break,romper
although,a pesar de
end,fin
market,mercado
even,incluso
air,aire
force,fuerza
require,requerir
foot,pie
up,arriba
listen,escuchar
agree,aceptar
according,de acuerdo a
anyone,alguien
baby,bebé
wrong,equivocado
love,amar
cut,cortar
decide,decidir
republican,republicano
full,lleno
behind,detrás
pass,aprobar
interest,interés
sometimes,a veces
security,seguridad
eat,comer
report,informe
control,control
rate,tasa
local,local
suggest,sugerir
report,informe
nation,nación
sell,vender
action,acción
support,apoyo
wife,esposa
decision,decisión
receive,recibir
value,valor
base,base
pick,elegir
phone,teléfono
thanks,gracias
event,evento
drive,conducir
strong,fuerte
reach,alcanzar
remain,permanecer
explain,explicar
site,sitio
hit,golpear
pull,jalar
church,iglesia
model,modelo
perhaps,tal vez
relationship,relación
six,seis
fine,bien
movie,película
field,campo
raise,aumentar
less,menos
player,jugador
couple,pareja
million,millón
themselves,ellos mismos
record,registro
especially,especialmente
difference,diferencia
light,luz
development,desarrollo
federal,federal
former,anterior
role,role
pretty,bonito
myself,mí mismo
view,vista
price,precio
effort,esfuerzo
nice,lindo
quite,bastante
along,a lo largo de
voice,voz
finally,finalmente
department,departamento
either,cualquiera
toward,hacia
leader,líder
because,porque
photo,foto
wear,tener puesto
space,espacio
project,proyecto
return,devolver
position,posición
special,especial
million,millón
film,película
need,necesidad
major,importante
type,tipo
town,ciudad
article,artículo
road,camino
form,forma
chance,oportunidad
drug,droga
economic,económico
situation,situación
choose,elegir
practice,práctica
cause,causa
happy,feliz
science,ciencia
join,unirse
teach,enseñar
early,temprano
develop,desarrollar
share,compartir
yourself,tú mismo
carry,llevar
clear,claro
brother,hermano
matter,asunto
dead,muerto
image,imagen
star,estrella
cost,costo
simply,simplemente
post,correo
society,sociedad
picture,imagen
piece,pedazo
paper,papel
energy,energía
personal,personal
building,edificio
military,militar
open,abierto
doctor,doctor
activity,actividad
exactly,exactamente
american,americano
media,medios de comunicación
miss,extrañar
evidence,evidencia
product,producto
realize,darse cuenta
save,ahorrar
arm,brazo
technology,tecnología
catch,atrapar
comment,comentario
look,mirar
term,término
color,color
cover,cubrir
describe,describir
guess,adivinar
choice,elección
source,fuente
mom,mamá
soon,pronto
director,director
international,internacional
rule,regla
campaign,campaña
ground,suelo
election,elección
face,rostro
uh,oh
check,controlar
page,página
fight,luchar
itself,sí mismo
test,prueba
patient,paciente
produce,producir
certain,cierto
whatever,lo que
half,medio
video,video
support,apoyo
throw,tirar
third,tercero
care,cuidado
rest,descansar
recent,reciente
available,disponible
step,paso
ready,listo
opportunity,oportunidad
official,oficial
oil,aceite
call,llamar
organization,organización
character,personaje
single,soltero
current,actual
likely,probable
county,condado
future,futuro
dad,papá
whose,cuyo
less,menos
shoot,disparar
industry,industria
second,segundo
list,lista
general,general
stuff,cosa
figure,cifra
attention,atención
forget,olvidar
risk,riesgo
no,No
focus,enfocar
short,corto
fire,fuego
dog,perro
red,rojo
hair,cabello
point,punto
condition,condición
wall,muro
daughter,hija
before,antes
deal,trato
author,autor
truth,verdad
upon,al
husband,marido
period,período
series,serie
order,orden
officer,oficial
close,cerca
land,tierra
note,nota
computer,computadora
thought,pensamiento
economy,economía
goal,meta
bank,banco
behavior,comportamiento
sound,sonido
deal,trato
certainly,ciertamente
nearly,cerca de
increase,aumentar
act,acto
north,norte
well,Bueno
blood,sangre
culture,cultura
medical,médico
ok,OK
everybody,todos
top,arriba
difficult,difícil
close,cerca
language,idioma
window,ventana
response,respuesta
population,población
lie,mentir
tree,árbol
park,parque
worker,obrero
draw,dibujar
plan,plan
drop,gota
push,empujar
earth,tierra
cause,causa
per,por
private,privado
tonight,esta noche
race,carrera
than,que
letter,carta
other,otro
gun,pistola
simple,simple
course,curso
wonder,preguntarse
involve,involucrar
hell,infierno
poor,pobre
each,cada
answer,respuesta
nature,naturaleza
administration,administración
common,común
no,No
hard,duro
message,mensaje
song,canción
enjoy,disfrutar
similar,similar
congress,congreso
attack,ataque
past,pasado
hot,caliente
seek,buscar
amount,cantidad
analysis,análisis
store,almacenar
defense,defensa
bill,factura
like,como
cell,celúla
away,lejos
performance,actuación
hospital,hospital
bed,cama
board,junta
protect,proteger
century,siglo
summer,verano
material,material
individual,individual
recently,recientemente
example,ejemplo
represent,representar
fill,llenar
state,estado
place,lugar
animal,animal
fail,fallar
factor,factor
natural,natural
sir,Señor
agency,agencia
usually,generalmente
significant,significativo
help,ayuda
ability,capacidad
mile,milla
statement,declaración
entire,completo
democrat,demócrata
floor,piso
serious,grave
career,carrera
dollar,dólar
vote,votar
sex,sexo
compare,comparar
south,sur
forward,adelante
subject,sujeto
financial,financiero
identify,identificar
beautiful,hermoso
decade,década
bit,poco
reduce,reducir
sister,hermana
quality,calidad
quickly,rápidamente
act,acto
press,prensa
worry,preocuparse
accept,aceptar
enter,ingresar
mention,mencionar
sound,sonido
thus,de este modo
plant,planta
movement,movimienot
scene,escena
section,sección
treatment,tratamiento
wish,desear
benefit,beneficio
interesting,interesante
west,Oeste
candidate,candidato
approach,acercarse
determine,determinar
resource,recurso
claim,afirmar
answer,respuesta
prove,probar
sort,clasificar
enough,suficiente
size,tamaño
somebody,alguien
knowledge,conocimiento
rather,bastante
hang,colgar
sport,deporte
tv,televisor
loss,pérdida
argue,argumentar
left,izquierda
note,nota
meeting,reunión
skill,habilidad
card,tarjeta
feeling,sentimiento
despite,a pesar de
degree,grado
crime,delito
that,eso
sign,firmar
occur,ocurrir
imagine,imaginar
vote,votar
near,cerca
king,rey
box,caja
present,presente
figure,cifra
seven,Siete
foreign,extranjero
laugh,reír
disease,enfermedad
lady,dama
beyond,más allá de
discuss,conversar
finish,finalizar
design,diseño
concern,inquietud
ball,pelota
east,este
recognize,reconocer
apply,aplicar
prepare,preparar
network,red
huge,enorme
success,éxito
district,distrito
cup,taza
name,nombre
physical,físico
growth,crecimiento
rise,elevar
hi,Hola
standard,estándar
force,fuerza
sign,firmar
fan,admirador
theory,teoría
staff,personal
hurt,herir
legal,legal
september,septiembre
set,colocar
outside,afuera
et,en
strategy,estrategia
clearly,claramente
property,propiedad
lay,poner
final,final
authority,autoridad
perfect,perfecto
method,método
region,región
since,desde
impact,impacto
indicate,indicar
safe,seguro
committee,comité
supposed,supuesto
dream,sueño
training,capacitación
shit,mierda
central,central
option,opción
eight,ocho
particularly,particularmente
completely,completamente
opinion,opinión
main,principal
ten,diez
interview,entrevista
exist,existir
remove,eliminar
dark,oscuro
play,jugar
union,Unión
professor,profesor
pressure,presión
purpose,objetivo
stage,escenario
blue,azul
herself,sí misma
sun,sol
pain,dolor
artist,artista
employee,empleado
avoid,evitar
account,cuenta
release,liberar
fund,fondo
environment,ambiente
treat,tratar
specific,específico
version,versión
shot,disparo
hate,odiar
reality,realidad
visit,visita
club,club
justice,justicia
river,río
brain,cerebro
memory,memoria
rock,roca
talk,hablar
camera,cámara
global,global
various,varios
arrive,llegar
notice,aviso
bit,poco
detail,detalle
challenge,desafío
argument,argumento
lot,lote
nobody,nadie
weapon,arma
best,mejor
station,estación
island,isla
absolutely,absolutamente
instead,en cambio
discussion,discusión
instead,en cambio
affect,afectar
design,diseño
little,pequeño
anyway,de todos modos
respond,responder
control,control
trouble,problema
conversation,conversación
manage,administrar
close,cerca
date,fecha
public,público
army,ejército
top,arriba
post,correo
charge,cargar
seat,asiento